POS	NAME	UNITS	TYPE	REFERENCE
1	threaded rod M8	2	STD	DIN 795 M8 x 180
2	M8 Nuts	4	STD	ISO 4032  M8
3	M8 Nuts with Rubber	2	STD	ISO 7040 M8
4	M6 Nuts	4	STD	ISO 4032  M6
5	M6 Cylinder Screw	4	STD	ISO 8677 M6 x 70
6	W60x4 Wood Screw	8	STD	DIN 7997 4 x 60
7	W35x4 Wood Screw	4	STD	DIN 7997 4 x 35
8	W12x4 Wood Screw	16	STD	DIN 7997 4 x 12
9	Ratchet Wheel	2	POSH	/3DParts/RatchetWheel/okh-RatchetWheel.json
10	Clamp Ring	2	POSH	/3DParts/ClampRing/okh-ClampRing.json
11	Comb Module	5	POSH	/3DParts/CombModul/okh-CombModul.json
12	Ratchet Pawl	2	POSH	/3DParts/RatchetPawl/okh-RatchetPawl.json
13	Screw Socket w	12	POSH	/3DParts/ScrewSockets/okh-ScrewSockets.json
14	Screw Socket w/o	4	POSH	/3DParts/ScrewSockets/okh-ScrewSocket4ScrewHead.json
15	Outer Warpcloth Beam (4 parts each)	2	POSH	
15.1	Warpclothbeam_P1	1	POSH	/3DParts/WarpClothBeam/okh-Warpclothbeam_P1.json
15.2	Warpclothbeam_P2	1	POSH	/3DParts/WarpClothBeam/okh-Warpclothbeam_P2.json
15.3	Warpclothbeam_P3	1	POSH	/3DParts/WarpClothBeam/okh-Warpclothbeam_P3.json
15.4	Warpclothbeam_P4	1	POSH	/3DParts/WarpClothBeam/okh-Warpclothbeam_P4.json
16	Comb Holder	2	POSH	/WoodParts/CombHolder/okh-CombHolder.json
17	Side Frame	2	POSH	/WoodParts/SideFrame/okh-SideFrame.json
18	Cross Beam	2	POSH	/WoodParts/CrossBeam/okh-CrossBeam.json
19	Slot Beam	2	POSH	/WoodParts/SlotBeam/okh-SlotBeam.json
20	String Stick	2	POSH	/WoodParts/StringStick/okh-StringStick.json
21	Shuttle	1	POSH	/WoodParts/Shuttle/okh-Shuttle.json
22	Inner Warpcloth Beam	2	POSH	/WoodParts/WarpClothBeam_NoCNC/WarpClothBeam.json
23	3m String	1	BUY	⌀2…3 mm, Polypropylen
